Buffer_ID,class
BX252690,over 60000
MN171115,over 60000
MN37249,over 60000
BK160513,over 60000
BK652929,30000-40000
QN1578722,30000-40000
QN1013426,30000-40000
QN1008417,30000-40000
BK54017,over 60000
BK425917,30000-40000
SI72674,10000-15000
BK646569,40000-50000
QN174625,over 60000
BK162232,40000-50000
QN1227413,20000-30000
BK392436,30000-40000
BX492217,20000-30000
SI708830,10000-15000
SI1051,20000-30000
QN104676,20000-30000
QN280764,20000-30000
SI278060,under 10000
BK226947,over 60000
BX3263319,40000-50000
SI288726,20000-30000
QN359438,40000-50000
BX266228,over 60000
SI690350,under 10000
QN1225347,20000-30000
QN6866388,15000-20000
BX25331,40000-50000
QN53410,40000-50000
QN241076,30000-40000
SI330092,10000-15000
QN100606,20000-30000
SI94731,under 10000
SI32021,10000-15000
BK56309,over 60000
SI3121135,10000-15000
SI75628,under 10000
SI690048,under 10000
BX5653322,under 10000
BK35557,40000-50000
SI286325,15000-20000
SI826,15000-20000
QN103823,15000-20000
SI532328,10000-15000
BX5626227,under 10000
BX325413,40000-50000
QN210852,over 60000
SI284692,10000-15000
BX302365,over 60000
BK498659,40000-50000
SI320575,under 10000
SI7091180,10000-15000
BX5738412,40000-50000
QN982249,40000-50000
QN209120,over 60000
SI382051,under 10000
SI7775186,under 10000
SI264192,under 10000
BX5866450,15000-20000
BK21736,over 60000
BX426353,40000-50000
SI950245,under 10000
SI431178,under 10000
BX5759603,40000-50000
BK27354,40000-50000
QN110616,20000-30000
BK95016,40000-50000
QN1335198,15000-20000
BK20166,40000-50000
BK669616,40000-50000
SI29718,15000-20000
BK113635,40000-50000
SI65818,10000-15000
QN732320,15000-20000
SI320979,under 10000
QN109099,20000-30000
QN1301045,15000-20000
BX513437,30000-40000
SI777422,under 10000
BX512123,30000-40000
QN958919,30000-40000
QN1046422,20000-30000
BK155454,30000-40000
SI167117,15000-20000
QN330515,15000-20000
BK565711,over 60000
QN170647,30000-40000
BX48271,40000-50000
BK417541,over 60000
QN1201334,20000-30000
QN1217124,20000-30000
QN156284,40000-50000
MN2050149,over 60000
SI361,20000-30000
BX58841188,20000-30000
BK195345,over 60000
SI2313,15000-20000
QN1219851,20000-30000
QN806617,under 10000
QN731315,20000-30000
QN328652,15000-20000
QN109375,15000-20000
SI67507,under 10000
QN453179,under 10000
QN806473,under 10000
QN804865,under 10000
QN463747,20000-30000
QN168644,40000-50000
SI65759,under 10000
QN902935,30000-40000
QN280762,20000-30000
SI337798,10000-15000
BX594624,under 10000
QN423138,10000-15000
BK82159,40000-50000
BX397450,30000-40000
BX305737,over 60000
BX50128,30000-40000
SI7534294,under 10000
BK317232,40000-50000
QN512049,30000-40000
BK504362,over 60000
BK176969,over 60000
SI1196199,15000-20000
QN10741216,20000-30000
QN121529,30000-40000
BK399925,40000-50000
SI7026247,under 10000
SI73757,under 10000
BX5913870,20000-30000
BX2872407,over 60000
QN28071,20000-30000
BK223841,over 60000
SI121838,15000-20000
BX464926,30000-40000
BK551218,40000-50000
SI1116147,10000-15000
BX261348,over 60000
SI8118,15000-20000
BX344236,20000-30000
BK320430,40000-50000
BK5099200,over 60000
SI303045,10000-15000
SI61450,10000-15000
BK366327,30000-40000
SI773092,under 10000
BK146858,40000-50000
QN1245147,15000-20000
SI22603,under 10000
BX399714,40000-50000
BK732563,40000-50000
BX5419133,15000-20000
BX543722,20000-30000
QN959133,30000-40000
BX268552,over 60000
QN110419,20000-30000
BX58363268,under 10000
BX486587,30000-40000
